Date,Flights
2008-11-27 00:00:00,4164
2008-11-28 00:00:00,4982
2008-11-29 00:00:00,5793
2008-11-30 00:00:00,6306
2008-12-01 00:00:00,6502
2008-12-02 00:00:00,6284
2008-12-03 00:00:00,6177
2008-12-04 00:00:00,6306
2008-12-05 00:00:00,6358
2008-12-06 00:00:00,5050
2008-12-07 00:00:00,5890
2008-12-08 00:00:00,6243
2008-12-09 00:00:00,5959
2008-12-10 00:00:00,5937
2008-12-11 00:00:00,6131
2008-12-12 00:00:00,6290
2008-12-13 00:00:00,5048
2008-12-14 00:00:00,5857
2008-12-15 00:00:00,6120
2008-12-16 00:00:00,5770
2008-12-17 00:00:00,5917
2008-12-18 00:00:00,6228
2008-12-19 00:00:00,5669
2008-12-20 00:00:00,5362
2008-12-21 00:00:00,5571
2008-12-22 00:00:00,6219
2008-12-23 00:00:00,6156
2008-12-24 00:00:00,5256
2008-12-25 00:00:00,5358
2008-12-26 00:00:00,5992
2008-12-27 00:00:00,5535
2008-12-28 00:00:00,6016
2008-12-29 00:00:00,6345
2008-12-30 00:00:00,6202
2008-12-31 00:00:00,5294
